member_id,branch,segment,age_band,visits_per_month,avg_spend_chf,joined_cup,satisfaction_1_7,owns_reusable_cup
CL4100,Yverdon,student,25-34,6,11.78,yes,6,no
CL4101,Montreux,commuter,35-49,9,10.53,yes,6,yes
CL4102,Renens,commuter,25-34,2,15.75,yes,4,yes
CL4103,Montreux,local,50-64,9,18.85,no,6,yes
CL4104,Montreux,local,18-24,7,18.96,no,6,no
CL4105,Geneve-Eaux-Vives,tourist,65+,29,25.65,no,6,no
CL4106,Morges,local,65+,3,16.9,no,6,no
CL4107,Renens,local,65+,2,13.13,no,6,no
CL4108,Geneve-Cornavin,student,25-34,11,16.54,yes,4,yes
CL4109,Rolle,local,50-64,5,14.41,no,4,no
CL4110,Lausanne-Flon,local,25-34,4,14.82,no,5,no
CL4111,Morges,local,50-64,4,12.3,no,4,no
CL4112,Geneve-Cornavin,local,65+,2,16.47,no,4,no
CL4113,Nyon,tourist,18-24,4,22.76,no,5,no
CL4114,Montreux,commuter,65+,14,16.75,yes,6,no
CL4115,Renens,student,18-24,4,13.24,no,4,yes
CL4116,Geneve-Cornavin,student,35-49,8,13.31,yes,7,yes
CL4117,Lausanne-Gare,local,25-34,6,18.06,no,3,no
CL4118,Gland,local,18-24,7,18.27,yes,7,no
CL4119,Gland,commuter,65+,2,13.8,no,5,no
CL4120,Rolle,local,35-49,7,17.96,no,4,no
CL4121,Vevey,student,65+,2,11.6,no,3,no
CL4122,Geneve-Cornavin,local,65+,9,13.59,no,6,yes
CL4123,Nyon,student,25-34,9,13.35,yes,4,yes
CL4124,Nyon,student,50-64,11,12.39,no,5,no
CL4125,Gland,local,18-24,6,14.09,no,4,yes
CL4126,Morges,local,35-49,4,15.13,no,5,no
CL4127,Lausanne-Gare,commuter,50-64,3,13.31,yes,5,no
CL4128,Lausanne-Gare,commuter,65+,6,15.98,yes,6,yes
CL4129,Lausanne-Flon,local,35-49,4,15.8,no,5,yes
CL4130,Gland,tourist,18-24,4,18.22,no,6,no
CL4131,Morges,local,25-34,8,18.91,yes,4,yes
CL4132,Rolle,local,50-64,11,20.19,no,4,no
CL4133,Rolle,local,50-64,5,16.46,no,5,yes
