txn_id,label,fraud_type,labelled_by,labelled_at_ict,confidence
TXN-2022230,legit,,analyst_B,2025-06-04 09:50:09,high
TXN-2008168,legit,,analyst_A,2025-06-04 13:28:31,high
TXN-2017550,legit,,analyst_A,2025-06-05 05:56:57,low
TXN-2024300,legit,,analyst_A,2025-06-05 20:07:00,high
TXN-2014228,legit,,analyst_B,2025-06-07 02:10:09,medium
TXN-2015530,legit,,analyst_A,2025-06-07 03:10:51,medium
TXN-2013700,legit,,analyst_B,2025-06-07 09:38:34,medium
TXN-2021321,legit,,analyst_B,2025-06-07 14:37:23,high
TXN-2020774,legit,,analyst_B,2025-06-07 18:46:43,medium
TXN-2012760,legit,,analyst_B,2025-06-07 23:06:18,medium
TXN-2008714,legit,,analyst_A,2025-06-08 01:20:23,medium
TXN-2018042,legit,,analyst_A,2025-06-08 16:45:55,low
TXN-2018625,legit,,analyst_B,2025-06-08 21:12:28,medium
TXN-2010015,legit,,analyst_A,2025-06-09 13:31:31,high
TXN-2011040,legit,,analyst_B,2025-06-09 17:28:42,low
TXN-2024417,legit,,analyst_A,2025-06-09 23:37:42,high
TXN-2007667,legit,,analyst_A,2025-06-10 00:09:47,low
TXN-2014087,legit,,analyst_B,2025-06-10 04:41:19,medium
TXN-2008829,legit,,analyst_A,2025-06-10 06:04:28,medium
TXN-2007465,legit,,analyst_A,2025-06-10 12:40:10,medium
TXN-2023075,legit,,analyst_B,2025-06-10 18:30:47,medium
TXN-2012161,legit,,analyst_B,2025-06-10 22:56:51,high
TXN-2017168,legit,,analyst_B,2025-06-10 23:00:53,medium
TXN-2002439,legit,,analyst_A,2025-06-10 23:22:37,medium
TXN-2011502,legit,,analyst_A,2025-06-11 00:53:52,low
TXN-2004690,legit,,analyst_B,2025-06-11 02:10:36,medium
TXN-2008813,legit,,analyst_B,2025-06-11 07:07:35,high
TXN-2023031,legit,,analyst_A,2025-06-11 08:56:06,medium
TXN-2006248,legit,,analyst_B,2025-06-11 13:46:48,high
TXN-2013083,legit,,analyst_A,2025-06-12 01:12:18,medium
TXN-2004019,legit,,analyst_A,2025-06-12 10:41:49,low
TXN-2012983,legit,,analyst_B,2025-06-12 14:30:38,high
TXN-2015268,legit,,analyst_A,2025-06-12 14:38:56,high
TXN-2015755,fraud,sim_swap,analyst_A,2025-06-12 23:43:48,medium
TXN-2004990,legit,,analyst_A,2025-06-13 02:24:39,high
TXN-2000295,legit,,analyst_B,2025-06-13 02:25:45,low
TXN-2010029,legit,,analyst_B,2025-06-13 02:33:06,low
TXN-2011516,legit,,analyst_B,2025-06-13 03:04:51,low
TXN-2022002,legit,,analyst_B,2025-06-13 04:04:13,low
TXN-2006850,legit,,analyst_A,2025-06-13 05:07:12,medium
TXN-2021261,legit,,analyst_B,2025-06-13 08:06:05,medium
TXN-2007226,legit,,analyst_A,2025-06-13 11:48:43,low
TXN-2001097,legit,,analyst_B,2025-06-13 20:35:41,low
