txn_id,ts_utc,user_id,amount_vnd,merchant_id,merchant_cat,channel,device_id,device_os,is_new_device,ip_country,province,account_age_days,txn_count_24h,amount_avg_30d,status
TXN-2024573,2023-08-01 04:52:54,U488793,179000,M021501,education,qr,,,,VN,Hà Nội,402,7,146429,completed
TXN-2020149,2023-08-01 19:48:16,U393386,553000,M002826,e_commerce,p2p,,,,VN,Hà Nội,662,4,900895,completed
TXN-2008668,2023-08-02 01:30:36,U568806,134000,M002688,transport,qr,,,,VN,Hồ Chí Minh,2079,7,93081,completed
TXN-2006221,2023-08-02 02:38:42,U304042,353000,M024530,Grocery,p2p,,,,VN,Lâm Đồng,2173,1,339141,completed
TXN-2010655,2023-08-02 11:27:17,U107751,2486000,M011188,fnb,p2p,,,,VN,Hà Nội,1008,6,4368930,completed
TXN-2006347,2023-08-02 14:23:57,U100769,1655000,M016644,ECOM,p2p,,,,VN,Bình Dương,1816,7,2951490,completed
TXN-2018373,2023-08-03 07:48:38,U727894,108000,M004731,UTIL,qr,,,,VN,Hồ Chí Minh,1573,7,149899,completed
TXN-2009496,2023-08-04 02:40:34,U552776,348000,M029052,food and beverage,qr,,,,VN,Hồ Chí Minh,1901,5,349522,completed
TXN-2004804,2023-08-04 05:21:04,U354923,6550000,M001932,ECOM,p2p,,,,VN,An Giang,1030,5,11454832,completed
TXN-2004709,2023-08-04 07:05:36,U749419,1291000,M010408,UTIL,p2p,,,,VN,Đà Nẵng,1706,1,894108,completed
TXN-2024463,2023-08-04 08:26:11,U559632,2710000,M020777,bill_payment,ecom,,,,VN,Hồ Chí Minh,1356,2,3789421,completed
TXN-2019371,2023-08-04 10:14:13,U226283,103000,M007933,,qr,,,,VN,Hồ Chí Minh,900,1,173983,declined
TXN-2016980,2023-08-04 10:19:09,U515646,24000,M022114,E Commerce,qr,,,,VN,Hồ Chí Minh,1502,2,16055,completed
TXN-2003113,2023-08-04 10:38:15,U901811,251000,M022928,transport,bill,,,,VN,Đà Nẵng,185,7,438756,completed
TXN-2006398,2023-08-04 13:59:34,U502469,2636000,M015530,ECOM,p2p,,,,VN,Hồ Chí Minh,1550,3,1487871,completed
TXN-2021286,2023-08-05 03:38:40,U566995,192000,M018230,Entertainment,qr,,,,VN,Hà Nội,575,7,253843,completed
TXN-2015118,2023-08-05 03:59:12,U444096,7191000,M020173,FOOD_BEV,ecom,,,,VN,Hồ Chí Minh,486,5,5972267,completed
