month,branch,canton,format,cup_pilot,customers,avg_spend_chf,revenue_chf,promo_spend_chf,staff_hours,mean_temp_c
2024-09,Nyon,VD,station,0,4453,15.96,71049.0,2103.0,631,16.9
2024-09,Vevey,VD,street,0,3493,15.15,52920.0,2220.0,597,16.9
2024-09,Morges,VD,street,0,4090,15.2,62166.0,2161.0,627,16.9
2024-09,Rolle,VD,street,0,3050,17.48,53310.0,2276.0,450,16.9
2024-09,Lausanne-Flon,VD,street,0,5849,18.57,108644.0,5339.0,900,16.9
2024-09,Lausanne-Gare,VD,station,0,6545,15.05,98514.0,3599.0,966,16.9
2024-09,Geneve-Cornavin,GE,station,0,7306,14.62,106798.0,4551.0,1043,16.9
2024-09,Geneve-Eaux-Vives,GE,street,0,5038,17.81,89714.0,1757.0,726,16.9
2024-09,Montreux,VD,street,0,4063,18.02,73205.0,570.0,519,16.9
2024-09,Yverdon,VD,mall,0,3588,12.91,46320.0,0.0,476,16.9
2024-09,Renens,VD,mall,0,3751,12.88,48313.0,2380.0,524,16.9
2024-09,Gland,VD,street,0,2807,15.71,44096.0,3028.0,433,16.9
2024-10,Nyon,VD,station,0,4358,16.11,70217.0,2047.0,619,12.1
2024-10,Vevey,VD,street,0,4065,14.17,57593.0,1364.0,547,12.1
2024-10,Morges,VD,street,0,3865,15.37,59398.0,2745.0,596,12.1
2024-10,Rolle,VD,street,0,3257,17.49,56970.0,2295.0,476,12.1
2024-10,Lausanne-Flon,VD,street,0,5734,16.71,95793.0,3691.0,907,12.1
2024-10,Lausanne-Gare,VD,station,0,6960,14.59,101557.0,3617.0,928,12.1
2024-10,Geneve-Cornavin,GE,station,0,7215,14.11,101801.0,3880.0,1052,12.1
2024-10,Geneve-Eaux-Vives,GE,street,0,5072,17.99,91254.0,2839.0,685,12.1
2024-10,Montreux,VD,street,0,4095,18.35,75141.0,2453.0,598,12.1
2024-10,Yverdon,VD,mall,0,3538,12.67,44833.0,1836.0,503,12.1
2024-10,Renens,VD,mall,0,3763,12.98,48851.0,1999.0,551,12.1
2024-10,Gland,VD,street,0,3131,16.13,50516.0,1031.0,465,12.1
2024-11,Nyon,VD,station,0,4518,15.6,70499.0,2591.0,616,6.4
2024-11,Vevey,VD,street,0,4166,14.47,60271.0,2301.0,579,6.4
2024-11,Morges,VD,street,0,4079,15.24,62144.0,3512.0,624,6.4
2024-11,Rolle,VD,street,0,3165,17.39,55049.0,1565.0,466,6.4
2024-11,Lausanne-Flon,VD,street,0,6036,17.42,105159.0,3016.0,849,6.4
2024-11,Lausanne-Gare,VD,station,0,6685,13.73,91799.0,4840.0,1010,6.4
